시군,고가차 53(m),고가차 52(m),고가차 46(m),굴 절차 36(m),굴 절차 28(m),굴 절차 27(m),배 연 차,구 급 차,구조차 버스,구조차 공작,구조차 산악,화학차 고성능,화학차 생화학,화학차 제독,화학차 일반,물탱크차,펌프차 중형,펌프차 소형,지 휘 차,화재조사차,행 정 차,화 물 차,순 찰 차,진 단 차,굴 삭 기,"트레일러 공기,양수",트레일러 보트,이동정비차,이동체험차,장비운반차,이동중계차,산불진화차,유 조 차,버   스
본부,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,1,1,1,1,1,,1,2
덕진,1,,,,,1,,10,1,1,1,1,1,,2,2,7,2,1,,2,1,1,1,,1,1,,,1,,1,,
완산,,1,,,1,,1,10,,2,2,,,,1,6,10,2,1,,3,1,1,1,,1,1,,,1,,,,
군산,,1,,1,,,1,8,1,1,1,1,,1,1,3,13,,1,,3,1,1,1,1,2,1,,,2,,3,,
익산,1,,,1,,,1,8,1,1,1,1,,,1,5,11,2,1,,2,1,1,1,,1,,,,1,,,,
정읍,1,,,,,1,1,6,,1,1,,,,,2,7,1,1,,2,1,1,1,,1,,,,1,,,,
남원,1,,1,,,1,1,9,,3,2,,,,1,3,11,3,1,,2,1,1,1,,2,,,,1,,1,,
김제,1,,,,,,1,5,,1,1,,,,1,2,5,1,1,,2,1,1,1,,1,,,,1,,,,
고창,1,,,,,,,5,,1,1,,,,1,1,5,2,1,,2,1,1,1,,1,2,,,1,,,,
부안,1,,,,,1,,5,,1,2,,,,1,2,6,2,1,,2,1,1,1,,1,1,,,1,,,,
무진장,1,,,,,1,,11,,3,2,,,,1,4,14,2,1,,2,1,1,1,,1,1,,,1,,,,
