"지역","읍면동","전화번호","주소","일반현황","청사현황","자치센터현황","데이터기준일자",""
"제주시","일도1동","064-728-4412","제주특별자치도 제주시 중앙로7길 15 (일도일동)","인구 3146명 / 면적 0.33㎢ / 11통 61개반","지상 3층  / 연면적 585㎡","개소일 2000-12-20","2019-06-20",""
"제주시","일도2동","064-728-4442","제주특별자치도 제주시 고마로 28 (일도이동)","인구 38400명 / 면적2.18㎢ / 48통326반","지상 2층·지하 1층 / 연면적 1307.01","총면적 617.22㎡ / 개소일 2000-12-24","2019-06-20",""
"제주시","이도1동","064-728-1530","제주특별자치도 제주시 중앙로25길 17 (이도1동)","인구 7418명 / 면적 0.79㎢ / 16통 97개반","지상 2층 / 2층면적 205㎡","개소일 2000-12-28","2019-06-20",""
"제주시","이도2동","064-755-2021","제주특별자치도 제주시 오복3길 8 (이도이동)","인구 41428명 / 면적 5.4㎢ / 49통 323반","지하 1층·지상 3층 / 연면적 1223.52㎡","총면적 388.9㎡  / 개소일 2000-10-05","2019-06-20",""
"제주시","삼도1동","064-728-4532","제주특별자치도 제주시 전농로 40 (삼도일동)","인구 14281명 / 면적0.87㎢ / 18통122반","지하 1층·지상3층 / 연면적 2070.37㎡","총면적 456.55㎡","2019-06-20",""
"제주시","삼도2동","064-728-4562","제주특별자치도 제주시 관덕로6길 15 (삼도이동)","인구 9431명 / 면적0.83㎢ / 19통109반","지하 1층·지상3층 / 연면적 814㎡","총면적 368.69㎡ / 개소일 2000-12-30","2019-06-20",""
"제주시","용담1동","064-728-4592","제주특별자치도 제주시 용남3길 11 (용담일동)","인구 8368명 / 면적0.61㎢ / 15통102반","지상 3층 / 대지면적 8825㎡ / 건축면적 428.55","연면적 112049㎡  / 개소일 2000-12-24","2019-06-20",""
"제주시","용담2동","064-728-1535","제주특별자치도 제주시 흥운길 27 (용담이동)","인구 16701명 / 면적 4.94㎢ / 23통 155반","지상 3층 지하 1층 / 연면적 1046.13㎡","총면적 449.55㎡ / 개관일 2000-12-30","2019-06-20",""
"제주시","건입동","064-728-1536","제주특별자치도 제주시 만덕로 18 (건입동)","인구 10850명 / 면적2.5㎢ / 20통113반","지상 4층 / 연면적 1192.37㎡","총면적 323.92㎡ / 개소일 2000-12-27","2019-06-20",""
"제주시","화북동","064-728-4682","제주특별자치도 제주시 진남로6길 17 (화북일동)","인구 25559('17.5월 현재) / 면적8.28㎢ / 33통 205반","지하 1층·지상3층 / 연면적 2375.80㎡","연면적 54㎡ / 개소일 2000-12-27","2019-06-20",""
"제주시","삼양동","064-728-1538","제주특별자치도 제주시 지석13길 6 (삼양이동)","인구 25000명('19. 1.기준) / 면적 9.525㎢ / 23통 122반","지하 1층·지상 3층 / 연면적 1688.11㎡","총면적 2034㎡  / 개소일 2000-12-28","2019-06-20",""
"제주시","봉개동","064-728-4742","제주특별자치도 제주시 봉개북1길 15","인구 3046명 / 면적47.2㎢ / 7통30반","지하 1층·지상2층 / 연면적 770㎡","총면적 390㎡ / 개소일 2000-10-05","2019-06-20",""
"제주시","아라동","064-728-1540","제주특별자치도 제주시 인다8길 5(아라일동)","인구 28741명('17.2.28기준) / 면적70.48㎢ / 24통126반","지하 1층·지상3층 / 연면적 453.26㎡","총면적 197.44㎡ / 개소일 2000-12-29","2019-06-20",""
"제주시","오라동","064-728-1541","제주특별자치도 제주시 오라로 10길 6 (오라2동)","인구 13729명 / 면적28.7㎢ / 17통74개반","지하 1층·지상3층 / 연면적815.8㎡","총면적 699.6㎡ / 개소일 2000-12-30","2019-06-20",""
"제주시","연동","064-728-4836","제주특별자치도 제주시 신대로 101 (연동)","인구 39897 / 면적12.4㎢ / 41통268반","지하 1층·지상3층 / 연면적 945.61㎡","개소일 2001. 9. 5","2019-06-20",""
"제주시","노형동","064-728-4862","제주특별자치도 제주시 노형9길 9-4 (노형동)","인구 56223명('18.12월 말 현재) / 면적 45.24㎢ / 58통 307반","지하 1층·지상3층 / 연면적 733.6㎡","총면적 733.6㎡ / 개소일 2000-12-31","2019-06-20",""
"제주시","외도동","064-728-4892","제주특별자치도 제주시 일주서로 7350 (외도이동)","인구 17606명 / 면적 8.4㎢ / 19통 136반","지상 3층·지하 1층 / 연면적 1847.59㎡","총면적 722.56㎡","2019-06-20",""
"제주시","이호동","064-728-1545","제주특별자치도 제주시 백포서길 9 (이호일동)","인구 4104명 / 면적 2.56㎢ / 8통 37반","지하 1층·지상 2층 / 연면적 543.81㎡","총면적 대지1047㎡ 건축면적 352.84㎡ /  개소일 2001-01-01","2019-06-20",""
"제주시","도두동","064-728-4952","제주특별자치도 제주시 도두1길 9-1 (도두일동)","인구 2837명 / 면적 4.03㎢ / 6통 25반","지상 2층·지하 1층 / 연면적646㎡","총면적 142.41㎡  / 개소일 2000-12-30","2019-06-20",""
"제주시","한림읍","064-728-7628","제주시 한림읍 한림상로 132","인구 19925명 / 면적91.99㎢ / 21개리 56개자연마을 350개반","지상 2층 / 연면적 1066.33㎡","총면적 1066.33㎡ /  개소일 2007-07-19","2019-06-20",""
